No.,Description
190531,Cookies
3920999090,Thermal Pad
3923210000,Protection bag plastic
3923500000,
39269090,
3926909790,Enclosure
49090000,Julkort
61091000,T-shirts
7318155890,
7318166090,
7318190090,Accessory
7415330000,
7616991091,
8205.59.8000,Connector tool
8302490099,
84713000,RTO rigg
8471500000,
8473301180,
8504408390,Power adapter
8517.62.0090,Adapters for embedded wireless modules
8517.62,Cellular
8517180050,*DO NOT USE*Wifi modules
85176200,Router Semtech XR
8517620000,Router
8517620010,*TEST* Cellular /Wi-fi Modules
8517620090,Cellular / Wi-fi Modules
8517700000,*DO NOT USE*2G/3G/4G modules
85177090,*DO NOT USE*2G/3G/4G modules
85177100,
8517710000,Antenna
8523510000,
8523520000,MFF2 SIM card
8526910020,GPS/GNSS modules
85291069,RF Connectors
85291090,*DO NOT USE*Antenna/cable
8534009000,
8536,
8536.69.4040,Printed circuit connectors (Magnetics)
8536693000,
8536699099,Jumper
85389091,
8542330001,
8542900000,
8544421000,Interface cable
8544421900,
85444999,Raspberry Pi - Sample
8571620090,
CN,
KR,
US,
